,area_type,location,total_sqft,bath,balcony,price,bhk
3230,Super built-up  Area,Channasandra,1115.0,2.0,1.0,33.45,2.0
3237,Built-up  Area,Koramangala,1750.0,3.0,1.0,130.0,3.0
3238,Super built-up  Area,Electronic City Phase II,545.0,1.0,1.0,35.0,2.0
3239,Plot  Area,other,1375.0,2.0,1.0,105.0,2.0
3240,Super built-up  Area,Subramanyapura,1313.0,2.0,2.0,66.5,2.0
3242,Super built-up  Area,other,1693.0,3.0,2.0,108.0,3.0
3245,Super built-up  Area,Subramanyapura,1255.0,2.0,2.0,79.0,3.0
3247,Built-up  Area,other,900.0,2.0,1.0,45.0,2.0
3248,Super built-up  Area,Yelahanka New Town,1700.0,3.0,2.0,90.0,3.0
3250,Carpet  Area,Uttarahalli,1700.0,3.0,2.0,88.0,3.0
3251,Super built-up  Area,Harlur,1749.0,3.0,2.0,115.0,3.0
3252,Plot  Area,Dasanapura,1500.0,3.0,1.0,65.0,2.0
3254,Built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2.0
3256,Super built-up  Area,Ramagondanahalli,1610.0,2.0,2.0,115.0,3.0
3258,Plot  Area,TC Palaya,1200.0,2.0,0.0,66.0,2.0
3259,Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2.0
3260,Built-up  Area,Indira Nagar,1210.0,2.0,1.0,102.0,2.0
3263,Super built-up  Area,other,1364.0,2.0,2.0,70.0,2.0
3265,Super built-up  Area,other,1150.0,2.0,2.0,77.5,3.0
3267,Built-up  Area,Magadi Road,1345.0,2.0,2.0,55.0,2.0
3269,Built-up  Area,Kengeri,750.0,2.0,1.0,36.0,2.0
3271,Super built-up  Area,Pattandur Agrahara,1247.0,2.0,1.0,59.8,2.0
3272,Super built-up  Area,other,1058.0,2.0,2.0,60.0,2.0
3273,Super built-up  Area,Kaggalipura,950.0,2.0,1.0,48.0,2.0
3274,Super built-up  Area,Vasanthapura,420.0,2.0,0.0,35.0,2.0
3276,Super built-up  Area,Vijayanagar,1520.0,2.0,1.0,103.0,3.0
3277,Super built-up  Area,Marathahalli,1215.0,2.0,2.0,58.86,2.0
3278,Built-up  Area,other,900.0,1.0,1.0,30.0,1.0
3287,Super built-up  Area,Bommasandra,920.0,2.0,1.0,37.46,2.0
3288,Plot  Area,Sarjapur  Road,1200.0,3.0,2.0,70.0,3.0
3292,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2.0
3294,Super built-up  Area,Haralur Road,1464.0,2.0,2.0,56.0,2.0
3296,Super built-up  Area,Electronics City Phase 1,1555.0,2.0,1.0,82.0,3.0
3299,Super built-up  Area,Kadubeesanahalli,970.0,2.0,1.0,35.0,2.0
3303,Super built-up  Area,Electronic City,1350.0,3.0,2.0,58.0,3.0
3307,Super built-up  Area,Kodichikkanahalli,1495.0,2.0,2.0,75.0,3.0
3308,Built-up  Area,Indira Nagar,1224.0,2.0,2.0,105.0,2.0
3309,Super built-up  Area,Banashankari Stage III,1350.0,2.0,2.0,68.0,3.0
3310,Built-up  Area,Green Glen Layout,940.0,2.0,1.0,56.8,2.0
3311,Super built-up  Area,Raja Rajeshwari Nagar,1100.0,2.0,1.0,55.0,2.0
3312,Super built-up  Area,Kaikondrahalli,1300.0,2.0,2.0,61.0,2.0
3314,Super built-up  Area,Hoodi,1105.0,2.0,2.0,46.37,2.0
3316,Super built-up  Area,Yelahanka,1517.0,3.0,2.0,76.3,3.0
3321,Super built-up  Area,Marathahalli,1365.0,2.0,2.0,73.0,2.0
3323,Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,98.0,2.0
3324,Super built-up  Area,Kodigehalli,1086.0,2.0,1.0,33.66,2.0
3326,Built-up  Area,Hennur,1100.0,2.0,1.0,60.0,2.0
3327,Super built-up  Area,Electronic City Phase II,1065.0,2.0,1.0,30.75,2.0
3328,Plot  Area,TC Palaya,1500.0,2.0,1.0,120.0,3.0
3329,Built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3.0
3332,Super built-up  Area,Gubbalala,1745.0,3.0,2.0,110.0,3.0
3333,Super built-up  Area,Nagarbhavi,1223.0,2.0,1.0,60.0,2.0
3334,Super built-up  Area,Ananth Nagar,1200.0,2.0,1.0,65.0,3.0
3335,Super built-up  Area,Basaveshwara Nagar,1200.0,2.0,0.0,90.0,2.0
3336,Super built-up  Area,Binny Pete,665.0,1.0,1.0,46.08,1.0
3337,Super built-up  Area,Bharathi Nagar,1351.0,2.0,2.0,70.0,2.0
3338,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3.0
3341,Carpet  Area,Amruthahalli,900.0,2.0,1.0,60.0,2.0
3348,Built-up  Area,Hoodi,1247.0,2.0,0.0,53.0,2.0
3350,Super built-up  Area,Balagere,1020.07,2.0,1.0,68.38,2.0
3353,Super built-up  Area,Garudachar Palya,1150.0,2.0,2.0,52.8,2.0
3355,Super built-up  Area,Babusapalaya,1141.0,2.0,1.0,46.0,2.0
3359,Super built-up  Area,Kanakapura,1295.0,2.0,2.0,64.0,2.0
3360,Super built-up  Area,Haralur Road,1230.0,2.0,1.0,78.0,2.0
3361,Super built-up  Area,other,1080.0,2.0,2.0,75.0,3.0
3362,Super built-up  Area,Kaggalipura,1000.0,2.0,1.0,60.0,2.0
3364,Super built-up  Area,Whitefield,630.5,1.0,0.0,32.79,1.0
3365,Super built-up  Area,Rayasandra,1708.0,3.0,2.0,75.0,3.0
3366,Super built-up  Area,Thanisandra,1697.0,3.0,2.0,115.0,3.0
3368,Super built-up  Area,Hosa Road,615.0,1.0,1.0,28.29,1.0
3369,Built-up  Area,Banashankari,1350.0,2.0,0.0,83.0,3.0
3371,Super built-up  Area,Jalahalli,1083.0,2.0,1.0,32.49,2.0
3372,Super built-up  Area,Gottigere,1460.0,2.0,2.0,65.0,3.0
3373,Super built-up  Area,Babusapalaya,1084.0,2.0,1.0,58.0,2.0
3374,Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.43,2.0
3376,Super built-up  Area,Hosur Road,460.0,1.0,1.0,21.0,1.0
3380,Plot  Area,Sarjapur,1200.0,3.0,2.0,78.0,3.0
3382,Super built-up  Area,Hegde Nagar,1801.0,3.0,2.0,140.0,3.0
3383,Super built-up  Area,Whitefield,1697.0,3.0,2.0,115.0,3.0
3384,Super built-up  Area,AECS Layout,1199.0,2.0,2.0,65.0,2.0
3389,Super built-up  Area,other,1125.0,2.0,1.0,75.0,2.0
3390,Plot  Area,Anandapura,1200.0,2.0,1.0,67.0,2.0
3392,Built-up  Area,Nagarbhavi,956.0,2.0,1.0,49.0,2.0
3393,Super built-up  Area,Sarjapur,1000.0,2.0,2.0,30.0,2.0
3394,Built-up  Area,other,1596.0,3.0,0.0,95.0,3.0
3399,Super built-up  Area,Electronic City Phase II,1219.0,2.0,1.0,61.25,2.0
3400,Built-up  Area,Uttarahalli,1200.0,3.0,1.0,50.0,3.0
3401,Super built-up  Area,Bannerghatta Road,1218.0,2.0,1.0,73.0,2.0
3404,Super built-up  Area,2nd Phase Judicial Layout,525.0,1.0,1.0,26.0,1.0
3411,Super built-up  Area,Lingadheeranahalli,1530.0,2.0,2.0,90.0,3.0
3412,Carpet  Area,other,1372.0,2.0,1.0,90.0,3.0
3415,Super built-up  Area,Jakkur,1950.0,3.0,2.0,131.0,3.0
3422,Built-up  Area,Uttarahalli,1085.0,2.0,2.0,43.0,2.0
3428,Super built-up  Area,Bellandur,1286.0,2.0,2.0,57.0,2.0
3429,Built-up  Area,other,925.0,2.0,2.0,63.0,2.0
3431,Built-up  Area,Haralur Road,1000.0,2.0,2.0,44.0,2.0
3434,Super built-up  Area,Lakshminarayana Pura,1336.0,2.0,2.0,100.0,2.0
3435,Super built-up  Area,Yeshwanthpur,673.0,1.0,1.0,36.85,1.0
3436,Plot  Area,Anandapura,1200.0,2.0,1.0,58.0,2.0
3439,Plot  Area,other,1200.0,2.0,0.0,79.0,2.0
3443,Super built-up  Area,Sector 2 HSR Layout,1143.0,2.0,2.0,65.0,2.0
3452,Super built-up  Area,Chikkalasandra,1230.0,2.0,2.0,48.0,2.0
3453,Super built-up  Area,Yelahanka New Town,650.0,1.0,1.0,20.0,1.0
3454,Super built-up  Area,Benson Town,1480.0,2.0,2.0,120.0,2.0
3456,Super built-up  Area,other,1570.0,3.0,1.0,115.0,3.0
3458,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,86.91,3.0
3461,Plot  Area,Ramamurthy Nagar,1100.0,2.0,0.0,68.0,2.0
3462,Super built-up  Area,Kathriguppe,1350.0,2.0,1.0,87.01,3.0
3463,Built-up  Area,Kasavanhalli,1719.0,3.0,2.0,116.0,3.0
3464,Super built-up  Area,Budigere,664.0,1.0,1.0,35.0,1.0
3465,Super built-up  Area,Sonnenahalli,1011.0,2.0,1.0,50.53,2.0
3467,Super built-up  Area,other,1680.0,3.0,2.0,85.0,3.0
3468,Super built-up  Area,Yeshwanthpur,717.0,2.0,0.0,49.475,2.0
3472,Super built-up  Area,Kothanur,1760.0,3.0,2.0,150.0,3.0
3473,Super built-up  Area,Pattandur Agrahara,875.0,2.0,1.0,33.0,2.0
3474,Super built-up  Area,Hennur,1231.0,2.0,2.0,48.0,2.0
3479,Built-up  Area,Shivaji Nagar,850.0,2.0,2.0,55.0,2.0
3491,Super built-up  Area,Uttarahalli,1175.0,2.0,1.0,47.0,2.0
3492,Super built-up  Area,Channasandra,1030.0,2.0,1.0,34.5,2.0
3493,Super built-up  Area,Hebbal,1440.0,2.0,1.0,115.0,2.0
3494,Built-up  Area,Hoodi,1500.0,2.0,1.0,84.0,2.0
3495,Plot  Area,Thanisandra,1380.0,1.0,1.0,62.1,1.0
3497,Built-up  Area,other,705.0,1.0,2.0,36.5,1.0
3499,Super built-up  Area,Hegde Nagar,1584.01,3.0,1.0,103.0,3.0
3503,Super built-up  Area,Sarjapur  Road,685.0,1.0,1.0,40.0,1.0
3507,Super built-up  Area,Kodichikkanahalli,1125.0,2.0,1.0,52.0,2.0
3508,Super built-up  Area,Hebbal,1100.0,2.0,1.0,54.0,2.0
3513,Plot  Area,other,1260.0,1.0,1.0,41.0,1.0
3515,Super built-up  Area,HSR Layout,1185.0,2.0,2.0,60.0,2.0
3517,Super built-up  Area,Hennur,1255.0,2.0,1.0,58.0,2.0
3519,Built-up  Area,Kudlu Gate,1335.0,3.0,2.0,89.0,3.0
3522,Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,110.0,3.0
3526,Plot  Area,Chikka Tirupathi,1616.0,3.0,0.0,95.0,3.0
3529,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.55,2.0
3530,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,30.0,1.0
3531,Plot  Area,Varthur,1200.0,2.0,1.0,98.0,3.0
3533,Super built-up  Area,Balagere,1205.47,2.0,1.0,81.0,2.0
3535,Super built-up  Area,Electronic City,1700.0,3.0,2.0,75.0,3.0
3540,Super built-up  Area,Thanisandra,923.0,1.0,1.0,60.84,1.0
3542,Super built-up  Area,Green Glen Layout,1050.0,2.0,2.0,48.0,2.0
3544,Super built-up  Area,Hennur Road,1664.0,2.0,2.0,93.865,3.0
3553,Super built-up  Area,Thanisandra,1743.0,3.0,2.0,93.25,3.0
3556,Super built-up  Area,Mysore Road,1512.0,2.0,2.0,110.0,3.0
3564,Super built-up  Area,Hormavu,1141.0,2.0,1.0,44.4,2.0
3565,Super built-up  Area,Anandapura,1151.0,2.0,1.0,43.1,2.0
3569,Super built-up  Area,Bannerghatta Road,1115.0,2.0,1.0,65.12,2.0
3571,Super built-up  Area,Kaggadasapura,1200.0,2.0,2.0,53.0,2.0
3572,Super built-up  Area,Singasandra,1300.0,2.0,2.0,65.0,2.0
3573,Super built-up  Area,Bellandur,1457.0,2.0,2.0,85.0,2.0
3574,Super built-up  Area,Kannamangala,1262.0,2.0,2.0,55.0,2.0
3576,Super built-up  Area,Ananth Nagar,900.0,2.0,2.0,22.5,2.0
3577,Built-up  Area,Attibele,420.0,1.0,1.0,17.0,1.0
3578,Super built-up  Area,Kanakapura,1160.0,2.0,1.0,46.39,2.0
3579,Super built-up  Area,Kasavanhalli,1115.0,2.0,2.0,50.0,2.0
3580,Built-up  Area,JP Nagar,1315.0,2.0,1.0,85.4,3.0
3581,Built-up  Area,Babusapalaya,1500.0,2.0,2.0,57.0,2.0
3582,Super built-up  Area,HSR Layout,1127.0,2.0,1.0,68.0,2.0
3583,Super built-up  Area,Kundalahalli,1397.0,3.0,2.0,104.0,3.0
3585,Super built-up  Area,Sompura,1090.0,2.0,2.0,28.0,2.0
3587,Super built-up  Area,Jakkur,1230.0,2.0,1.0,76.0,2.0
3590,Super built-up  Area,Talaghattapura,1868.0,3.0,1.0,121.0,3.0
3591,Super built-up  Area,Uttarahalli,1689.28,3.0,2.0,91.2,3.0
3595,Plot  Area,Tindlu,1350.0,2.0,1.0,100.0,2.0
3597,Super built-up  Area,Uttarahalli,1310.0,2.0,1.0,85.0,3.0
3601,Super built-up  Area,Sarjapur,1157.0,2.0,1.0,40.0,2.0
3602,Super built-up  Area,Kasavanhalli,1125.0,2.0,1.0,61.2,2.0
3603,Super built-up  Area,Sonnenahalli,1157.0,2.0,1.0,42.0,2.0
3604,Super built-up  Area,Sarjapur  Road,1241.0,2.0,1.0,82.0,2.0
3608,Built-up  Area,other,596.0,1.0,1.0,42.0,1.0
3612,Super built-up  Area,Brookefield,1139.0,2.0,2.0,80.0,2.0
3614,Super built-up  Area,Sarjapura - Attibele Road,1033.0,2.0,2.0,28.41,2.0
3617,Built-up  Area,Electronics City Phase 1,1340.0,2.0,2.0,75.0,2.0
3618,Built-up  Area,other,1405.0,2.0,2.0,70.0,3.0
3623,Super built-up  Area,other,985.0,2.0,1.0,63.0,2.0
3625,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3.0
3628,Super built-up  Area,Hormavu,1130.0,2.0,1.0,42.3,2.0
3629,Super built-up  Area,Yelachenahalli,1080.0,2.0,2.0,55.0,2.0
3633,Super built-up  Area,Hennur Road,1290.0,2.0,1.0,94.5,3.0
3634,Super built-up  Area,Hosa Road,1318.0,2.0,1.0,85.28,3.0
3635,Super built-up  Area,Electronic City,1128.0,2.0,1.0,68.0,2.0
3637,Super built-up  Area,Kanakpura Road,1051.0,2.0,2.0,56.74,2.0
3643,Super built-up  Area,other,650.0,1.0,0.0,30.0,1.0
3644,Plot  Area,Varthur,1200.0,3.0,1.0,67.75,3.0
3645,Super built-up  Area,other,1500.0,2.0,2.0,89.99,3.0
3648,Built-up  Area,Electronic City Phase II,1000.0,2.0,1.0,28.88,2.0
3652,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3.0
3655,Super built-up  Area,Kaggadasapura,1118.0,2.0,0.0,30.0,2.0
3656,Super built-up  Area,other,910.0,1.0,1.0,42.0,1.0
3661,Super built-up  Area,CV Raman Nagar,1070.0,2.0,2.0,47.5,2.0
3663,Super built-up  Area,Hoodi,1132.0,2.0,1.0,89.37,2.0
3666,Super built-up  Area,Sector 2 HSR Layout,794.0,1.0,2.0,65.0,1.0
3667,Super built-up  Area,Raja Rajeshwari Nagar,1090.0,2.0,2.0,43.59,2.0
3668,Super built-up  Area,Gottigere,1500.0,3.0,2.0,70.0,3.0
3670,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,30.0,1.0
3671,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2.0
3672,Super built-up  Area,Whitefield,1269.0,2.0,1.0,75.0,2.0
3675,Super built-up  Area,Talaghattapura,1150.0,2.0,0.0,28.0,2.0
3676,Super built-up  Area,Marathahalli,1208.0,2.0,2.0,70.0,2.0
3677,Super built-up  Area,Ramamurthy Nagar,1185.0,2.0,1.0,45.5,2.0
3679,Super built-up  Area,Anekal,888.0,2.0,1.0,34.0,2.0
3681,Built-up  Area,other,532.0,1.0,1.0,22.49,1.0
3682,Super built-up  Area,other,1060.0,3.0,1.0,62.0,3.0
3683,Built-up  Area,Electronic City,700.0,1.0,1.0,35.0,1.0
3686,Super built-up  Area,Uttarahalli,1175.0,2.0,1.0,47.0,2.0
3688,Super built-up  Area,Doddathoguru,984.0,2.0,1.0,51.0,2.0
3690,Super built-up  Area,Jalahalli East,1475.0,3.0,2.0,96.0,3.0
3691,Super built-up  Area,Haralur Road,1300.0,2.0,2.0,79.0,2.0
3695,Built-up  Area,Akshaya Nagar,1666.0,3.0,2.0,95.0,3.0
3700,Super built-up  Area,Uttarahalli,1137.0,2.0,1.0,63.0,2.0
3701,Super built-up  Area,Electronic City,1360.0,2.0,1.0,70.5,3.0
3702,Super built-up  Area,other,1374.0,2.0,2.0,70.0,3.0
3708,Built-up  Area,other,1080.0,2.0,1.0,55.0,2.0
3710,Super built-up  Area,Doddathoguru,550.0,1.0,1.0,17.0,1.0
3711,Super built-up  Area,Poorna Pragna Layout,1270.0,2.0,2.0,50.79,3.0
3712,Built-up  Area,Somasundara Palya,1033.0,2.0,2.0,48.0,2.0
3713,Built-up  Area,other,1000.0,2.0,1.0,80.0,2.0
3717,Super built-up  Area,Kambipura,883.0,2.0,1.0,39.0,2.0
3718,Built-up  Area,other,1500.0,2.0,0.0,97.0,3.0
3721,Super built-up  Area,Whitefield,1545.0,3.0,2.0,79.0,3.0
3723,Super built-up  Area,Hebbal Kempapura,1150.0,2.0,2.0,40.0,2.0
3725,Built-up  Area,Kengeri,963.0,2.0,2.0,40.0,2.0
3729,Super built-up  Area,Lingadheeranahalli,1682.0,3.0,1.0,120.0,3.0
3731,Super built-up  Area,Hennur Road,901.0,2.0,1.0,49.5,2.0
3733,Super built-up  Area,Ambalipura,1730.0,3.0,1.0,120.0,3.0
3738,Carpet  Area,other,1203.0,2.0,1.0,59.86,2.0
3739,Super built-up  Area,Horamavu Banaswadi,1357.0,2.0,2.0,54.0,2.0
3741,Built-up  Area,Yelahanka New Town,350.0,1.0,1.0,13.5,1.0
3744,Super built-up  Area,Sarjapur  Road,835.0,1.0,1.0,46.95,1.0
3746,Super built-up  Area,Haralur Road,1444.0,2.0,1.0,80.0,3.0
3747,Super built-up  Area,Kanakapura,1277.0,2.0,2.0,55.0,2.0
3748,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.71,3.0
3750,Super built-up  Area,Vasanthapura,995.0,2.0,1.0,34.82,2.0
3752,Built-up  Area,Marathahalli,1325.0,1.0,1.0,92.0,2.0
3754,Built-up  Area,Marathahalli,1525.0,3.0,2.0,90.0,3.0
3755,Super built-up  Area,other,1320.0,2.0,2.0,73.0,3.0
3756,Super built-up  Area,Electronics City Phase 1,650.0,1.0,1.0,23.0,1.0
3759,Super built-up  Area,Electronic City Phase II,769.0,2.0,1.0,40.0,2.0
3760,Super built-up  Area,Electronic City,1571.0,3.0,2.0,105.0,3.0
3761,Super built-up  Area,Hennur Road,1445.0,3.0,1.0,86.56,3.0
3762,Super built-up  Area,Hosur Road,1590.0,2.0,2.0,135.0,3.0
3763,Super built-up  Area,Bommasandra,902.0,2.0,2.0,49.0,2.0
3767,Built-up  Area,Haralur Road,1088.0,2.0,1.0,68.0,2.0
3770,Super built-up  Area,Kundalahalli,1920.0,3.0,2.0,150.0,3.0
3771,Plot  Area,Margondanahalli,1000.0,2.0,0.0,57.0,2.0
3772,Super built-up  Area,other,1100.0,2.0,2.0,56.1,2.0
3774,Built-up  Area,Horamavu Agara,1106.0,2.0,1.0,43.09,2.0
3777,Built-up  Area,Thanisandra,923.0,1.0,1.0,45.69,1.0
3779,Super built-up  Area,Lakshminarayana Pura,1175.0,2.0,2.0,75.0,2.0
3780,Built-up  Area,Thubarahalli,975.0,2.0,1.0,55.0,2.0
3784,Super built-up  Area,Harlur,1758.0,3.0,2.0,133.0,3.0
3786,Super built-up  Area,Hebbal,1255.0,2.0,1.0,77.68,3.0
3788,Built-up  Area,Pai Layout,1100.0,2.0,2.0,50.0,2.0
3789,Super built-up  Area,Ramamurthy Nagar,1170.0,2.0,2.0,46.8,2.0
3792,Built-up  Area,Hebbal,1420.0,2.0,2.0,107.0,2.0
3795,Super built-up  Area,Kanakpura Road,1591.0,3.0,1.0,115.0,3.0
3796,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3.0
3797,Plot  Area,other,675.0,3.0,1.0,52.0,2.0
3798,Super built-up  Area,Hoodi,1055.0,2.0,1.0,57.63,2.0
3799,Super built-up  Area,Iblur Village,1918.0,3.0,2.0,129.0,3.0
3800,Super built-up  Area,Sarjapur  Road,1280.0,2.0,1.0,76.0,2.0
3804,Super built-up  Area,other,1801.0,3.0,2.0,139.0,3.0
3808,Super built-up  Area,Hebbal,1320.0,2.0,1.0,92.0,2.0
3813,Super built-up  Area,Bannerghatta Road,1893.0,3.0,2.0,100.0,3.0
3814,Super built-up  Area,Chandapura,1107.0,2.0,1.0,43.0,3.0
3816,Super built-up  Area,Lakshminarayana Pura,1190.0,2.0,1.0,75.0,2.0
3819,Super built-up  Area,Kumaraswami Layout,1000.0,2.0,1.0,48.5,2.0
3821,Built-up  Area,KR Puram,1100.0,2.0,1.0,46.0,2.0
3825,Super built-up  Area,Kudlu,1027.0,2.0,2.0,43.0,2.0
3828,Built-up  Area,other,1150.0,2.0,1.0,75.0,2.0
3830,Super built-up  Area,Kudlu Gate,703.0,1.0,1.0,52.0,1.0
3832,Super built-up  Area,Bellandur,1195.0,2.0,2.0,51.0,2.0
3833,Super built-up  Area,Narayanapura,1302.0,2.0,1.0,69.1,2.0
3834,Super built-up  Area,Begur Road,1583.0,3.0,1.0,74.4,3.0
3839,Built-up  Area,Electronic City,1600.0,3.0,2.0,104.0,3.0
3840,Super built-up  Area,Old Airport Road,1150.0,2.0,1.0,90.0,2.0
3842,Super built-up  Area,Sarjapur  Road,1263.0,2.0,1.0,78.0,2.0
3844,Super built-up  Area,Kanakpura Road,1299.0,2.0,2.0,85.0,2.0
3845,Super built-up  Area,Banashankari,1330.0,2.0,1.0,78.0,2.0
3849,Built-up  Area,Bannerghatta Road,1600.0,3.0,2.0,95.0,3.0
3850,Built-up  Area,other,1256.0,2.0,1.0,62.8,2.0
3851,Super built-up  Area,other,1390.0,2.0,2.0,80.0,3.0
3852,Super built-up  Area,other,1550.0,2.0,2.0,90.0,3.0
3854,Built-up  Area,Hebbal,919.0,2.0,1.0,49.0,2.0
3856,Super built-up  Area,Gunjur,1195.0,2.0,2.0,44.0,2.0
3858,Super built-up  Area,Yelenahalli,1159.0,2.0,1.0,60.0,2.0
3860,Super built-up  Area,Harlur,1197.0,2.0,1.0,79.0,2.0
3863,Super built-up  Area,Bommasandra,1295.0,2.0,1.0,50.28,3.0
3865,Super built-up  Area,Whitefield,1132.0,2.0,1.0,79.28,2.0
3868,Super built-up  Area,Hebbal,1645.0,3.0,2.0,135.0,3.0
3871,Super built-up  Area,Marathahalli,1937.0,3.0,2.0,140.0,3.0
3872,Super built-up  Area,Doddathoguru,1015.0,2.0,2.0,33.5,2.0
3874,Super built-up  Area,Kathriguppe,1350.0,2.0,2.0,80.99,3.0
3876,Super built-up  Area,Kothanur,1185.0,2.0,2.0,59.0,2.0
3877,Super built-up  Area,Domlur,1720.0,3.0,1.0,135.0,3.0
3879,Plot  Area,Tindlu,1500.0,3.0,1.0,87.0,3.0
3880,Super built-up  Area,Yelahanka,1566.0,3.0,2.0,97.0,3.0
3883,Super built-up  Area,KR Puram,1290.0,2.0,1.0,49.02,2.0
3892,Built-up  Area,Kaval Byrasandra,1100.0,2.0,1.0,46.0,2.0
3896,Super built-up  Area,Uttarahalli,1315.0,2.0,2.0,74.0,3.0
3897,Super built-up  Area,Anandapura,1141.0,2.0,1.0,42.75,2.0
3898,Super built-up  Area,AECS Layout,1080.0,2.0,2.0,55.0,2.0
3899,Super built-up  Area,HBR Layout,1200.0,2.0,2.0,60.0,2.0
3900,Super built-up  Area,Varthur,1111.0,2.0,2.0,41.88,2.0
3901,Super built-up  Area,NGR Layout,1022.0,2.0,1.0,45.9,2.0
3902,Super built-up  Area,Bannerghatta Road,1275.0,2.0,2.0,65.0,2.0
3903,Super built-up  Area,other,900.0,2.0,1.0,70.0,2.0
3907,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,86.0,3.0
3909,Super built-up  Area,Bellandur,1050.0,2.0,2.0,72.0,2.0
3910,Super built-up  Area,Hosa Road,1513.0,3.0,1.0,103.0,3.0
3912,Super built-up  Area,Bannerghatta Road,892.0,2.0,1.0,39.0,2.0
3914,Super built-up  Area,Hebbal,1355.0,3.0,2.0,83.87,3.0
3919,Super built-up  Area,Kengeri,726.0,2.0,1.0,35.0,2.0
3922,Super built-up  Area,Horamavu Agara,1079.0,2.0,2.0,41.0,2.0
3923,Super built-up  Area,Begur Road,1170.0,2.0,2.0,46.0,2.0
3924,Super built-up  Area,Doddathoguru,1104.0,2.0,2.0,39.0,2.0
3928,Super built-up  Area,Kogilu,1559.0,3.0,2.0,127.0,3.0
3931,Super built-up  Area,Ramagondanahalli,1215.0,2.0,1.0,45.5,2.0
3932,Super built-up  Area,Talaghattapura,1868.0,3.0,1.0,135.0,3.0
3935,Super built-up  Area,Sarjapur  Road,1691.0,3.0,1.0,98.0,3.0
3937,Super built-up  Area,Hulimavu,1225.0,2.0,2.0,55.0,2.0
3938,Super built-up  Area,JP Nagar,1690.0,3.0,2.0,112.0,3.0
3939,Super built-up  Area,Thigalarapalya,1418.0,2.0,2.0,103.0,2.0
3941,Super built-up  Area,Sonnenahalli,605.0,1.0,1.0,40.0,1.0
3943,Super built-up  Area,Electronic City Phase II,900.0,2.0,2.0,32.5,2.0
3944,Plot  Area,other,750.0,2.0,0.0,50.0,1.0
3945,Plot  Area,Hoodi,780.0,3.0,1.0,62.0,3.0
3946,Super built-up  Area,Ananth Nagar,908.0,2.0,1.0,26.0,2.0
3950,Built-up  Area,Iblur Village,1400.0,2.0,2.0,68.0,2.0
3951,Super built-up  Area,Kudlu,1092.0,2.0,2.0,44.0,2.0
3952,Super built-up  Area,Hulimavu,1255.0,2.0,2.0,74.0,2.0
3953,Built-up  Area,Electronic City,1500.0,2.0,1.0,100.0,3.0
3956,Built-up  Area,Raja Rajeshwari Nagar,1023.0,2.0,2.0,42.0,2.0
3959,Super built-up  Area,Choodasandra,1530.0,3.0,2.0,77.0,3.0
3962,Super built-up  Area,Hosakerehalli,1925.0,2.0,1.0,50.0,2.0
3963,Super built-up  Area,Kogilu,1190.0,2.0,2.0,50.66,2.0
3965,Built-up  Area,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2.0
3966,Super built-up  Area,Green Glen Layout,1725.0,3.0,2.0,130.0,3.0
3967,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,50.0,3.0
3968,Super built-up  Area,Kannamangala,1574.0,3.0,1.0,93.34,3.0
3969,Built-up  Area,Sanjay nagar,965.0,1.0,1.0,32.0,1.0
3971,Super built-up  Area,other,1205.0,2.0,2.0,60.0,2.0
3972,Super built-up  Area,Kambipura,1082.0,2.0,1.0,55.0,3.0
3973,Super built-up  Area,Uttarahalli,1215.0,2.0,2.0,52.85,3.0
3976,Super built-up  Area,other,1500.0,1.0,1.0,19.5,1.0
3982,Plot  Area,other,1200.0,2.0,0.0,70.0,2.0
3988,Super built-up  Area,Pai Layout,1255.0,2.0,1.0,80.0,2.0
3990,Super built-up  Area,Somasundara Palya,1329.0,2.0,2.0,70.0,2.0
3991,Plot  Area,Chandapura,1200.0,2.0,1.0,60.0,2.0
3994,Built-up  Area,other,813.0,1.0,1.0,39.0,1.0
3997,Super built-up  Area,Kalena Agrahara,800.0,2.0,2.0,30.0,2.0
4002,Super built-up  Area,Akshaya Nagar,1575.0,3.0,2.0,90.0,3.0
